b1,b3,b4,b5,b9a,b9b,b10a,b14a,b14b,b14c,b14d,b14e,b14f,b15,b16,b17,b18,b19,b20,b23,b24,b29,b30,b49,b50,b52a,b52b,b52c,b52d
27,1,1,25,4,,1,,,,,,,,,,,,,,,,,,,,,,
28,1,1,31,4,,1,,,,,,,,,,,,,,,,,,,,,,
28,1,1,32,2,,7,2,2,2,2,2,2,1,30,1,1,4,3,6,5,1,1,1,2,2,1,1,0
27,1,1,33,2,,7,1,2,2,2,2,2,1,39,1,1,2,3,888,,1,1,1,2,2,0,3,2
27,1,1,35,2,,1,2,1,1,2,2,2,1,32,1,1,2,3,5,4,2,2,1,3,1,1,1,4
27,1,1,36,2,,1,2,2,1,2,2,2,1,25,1,1,2,3,5,4,3,1,1,3,1,1,2,0
31,1,1,43,2,,,,,,,,,2,,,,,,,,,,,,,,,
28,1,1,44,4,,7,,,,,,,,,,,,,,,,,,,,,,
31,1,1,62,2,,1,2,2,1,2,2,2,1,66,2,1,2,3,100,3,1,1,,3,0,1,10,0
27,1,1,66,2,,2,2,2,1,2,2,2,1,41,1,1,2,3,5,4,4,3,888,2,7,3,0,1
30,1,1,67,2,,7,1,1,1,2,2,2,1,32,1,1,2,2,6,4,2,3,1,2,3,4,4,1
68,1,1,68,2,,7,2,1,1,2,2,2,1,45,1,1,2,3,5,3,2,1,1,3,3,5,0,0
31,1,1,69,2,,7,2,2,1,2,2,2,1,60,1,1,2,3,6,4,2,2,,3,3,2,6,4
30,1,1,70,2,,7,1,1,1,2,2,2,1,38,2,1,2,3,6,4,3,3,,2,2,5,1,3
28,1,1,71,2,,7,2,2,1,2,2,2,1,19,1,1,1,888,1,2,1,1,1,2,1,1,1,0
28,1,1,74,2,,7,2,2,1,2,2,2,1,30,1,1,2,3,6,3,1,2,200,2,2,5,2,1
30,1,1,76,3,,7,,,,,,,,,,,,,,,,,,,,,,
30,1,1,80,2,,7,2,2,1,2,2,2,1,29,2,1,2,2,6,4,2,1,1,2,2,3,0,0
30,1,1,86,4,,1,,,,,,,,,,,,,,,,,,,,,,
27,1,1,87,5,66,,,,,,,,,,,,,,,,,,,,,,,
27,1,1,101,2,,1,2,2,2,2,2,2,1,30,1,1,2,3,5,4,1,1,1,2,1,1,6,2
31,1,1,110,2,,7,2,2,2,2,2,2,1,28,2,1,2,2,100,100,1,1,,2,2,1,0,0
27,1,1,115,2,,7,2,1,2,2,2,2,1,56,1,1,2,3,888,,1,1,1,1,1,0,0,1
27,1,1,120,2,,7,2,2,2,2,2,2,1,35,1,1,4,3,5,4,1,1,1,2,1,0,3,1
31,1,1,135,1,,,,,,,,,,,,,,,,,,,,,,,,
28,1,1,160,2,,7,2,2,2,2,2,2,1,38,1,1,2,3,3,3,1,1,1,3,11,3,2,3
31,1,1,161,2,,8,2,2,2,2,2,2,1,32,2,2,1,2,5,4,1,1,,2,0,0,0,0
31,1,1,162,2,,1,1,1,1,2,2,2,1,50,1,1,2,3,5,3,1,2,,2,2,2,0,0
31,1,1,165,2,,1,1,1,1,2,2,2,1,19,2,1,2,3,6,4,2,2,,2,1,4,1,0
30,1,1,167,2,,7,2,1,1,2,2,2,1,34,1,1,2,3,6,4,2,1,1,1,2,0,3,1
28,1,1,168,2,,7,2,2,1,2,2,2,1,28,1,1,2,3,2,2,1,1,1,3,1,1,0,0
28,1,1,172,2,,1,2,2,1,2,2,1,1,35,1,2,2,1,6,1,3,2,1,2,3,3,30,10
30,1,1,177,2,,7,2,2,2,2,2,2,1,36,2,1,2,2,888,,999,999,,2,1,1,0,0
28,1,1,181,2,,7,2,2,2,2,2,2,1,26,2,1,2,3,3,4,1,1,,2,2,1,2,0
34,4,1,1,2,,1,2,2,2,2,2,2,1,27,2,1,2,2,6,4,1,2,1,3,0,1,0,1
29,4,1,2,2,,8,1,1,2,2,2,2,1,22,1,2,2,3,1,4,2,4,1,2,0,0,0,0
29,4,1,3,2,,1,2,2,1,2,2,2,1,26,1,1,2,3,6,4,4,2,1,2,1,0,1,2
34,4,1,5,2,,1,2,2,2,2,2,2,1,22,1,1,2,2,6,4,2,1,1,2,1,0,0,0
22,4,1,6,2,,7,2,2,2,2,2,2,1,28,1,1,2,3,3,3,2,2,1,2,2,2,0,0
26,4,1,7,2,,7,2,2,1,2,2,2,1,28,1,1,2,3,3,4,1,2,0.01,2,2,2,7,3
9,4,1,9,2,,20,2,2,2,2,2,1,1,29,1,1,2,3,3,1,5,2,,2,4,4,0,1
23,4,1,10,2,,1,2,2,2,2,2,2,1,19,2,1,2,2,6,1,2,1,1,2,9,5,9,3
22,4,1,11,2,,7,2,2,1,2,2,1,1,42,1,1,1,3,6,3,1,1,1,3,1,1,1,0
22,4,1,12,1,,,,,,,,,,,,,,,,,,,,,,,,
